key,creation-moment,title,body,critic,link
announcement-01,"2000/01/01 01:01","1","aP9gfKx4nNtnRKT5NHR8u6A7ZnJqZJjtaFQDvtMHaHYy7xCFj8Xyt9b5HGYFDtyxtWE3Fv4cp4H9TR7aqp75R8AbiP4BV7TYr2BbL6npGQw64q4JxCPj5dh5xBCLQBYfyRvDbMpjHCvmQ88fdjzkLtRMUfR39Ff34S9npgYd92hiytqxwgHubHcTq6YnqVPPJcKU7LQMEUYNTMPuNRbDUhDatrX5qcjhtwfiCjDVZcGhqMUx7iTRLd7kU47DtXn", false,"https://www.linkedin.com/"
announcement-02,"2001/02/02 01:02","S", "MtDDKhCtAXnEyiGh7V482YtJNmAmhakpuxYS3rKkrK25kcj9jULxAYYcTSpHPkMAwptepdP8dCDd3uEw6atu4UcqAiUhuLHwD3fH7hyUuHmWX2mGZYavrmTbkJCqE4GPZ7LYLvrPFnTpuKnWgXPr78GdgWh9ZY3vX9dtaawxuw7gZTdjfyGGLKtHdWxSVGv9CYBdwkH2mJK88KhbePNmy27QcnSXbyTtMJw8Y4GETD6gadj6VxTeGPBkBVPyNn6", true, "https://twitter.com/?lang=en"
announcement-03,"2002/03/03 01:03","P", "CSauQdTiMxEzmYWHgbiDBQDQnzCnWdLMSXxCfEZVGECQkTmuUveSNJcvLNFbjwXtNfGhBNYKjjPFFyhRiRDnSzLFrQGDcwGGhgjYKuBQKyUkwecqKFAnaBLeDHXhLVXYvxhAzHwPrETXRPdVTDdijbNgJNTSLhCDQWHZzevvcAPmGQXimZQZegGLTRStUWBkNzmwekiNfjMPaibddeuYuLTkEncDeijFeJnuSFXMYicHMqjUDeZxCxZqpYCfyyU", false, "https://www.facebook.com/"
announcement-04,"2003/04/04 03:02","UjK9LvxFGtmwQzKSW8P4afjUS4xWwMLuquuU5kYTy9Kw6nkukgLg2dgRSxDWuncRh8GqzeqHtW3Rh7LmFbPYQPv7ciZJYFyT6DzT", "kyjxcppvzdyfnacxqcjvbdrwcdewrxqwhvtgqfvtzqqbvphukfzrjwuprtaazuferibpejhwzyggrvipwktjzheixvwmbzpfrrtjxeckqampxkvzadzydrjvhpmqqprgfjrdnhgbutcchwkqawwkwtmtekmiqwtdkraqwjrndpycrvwwqcyjcpqyuvficibcggugtbiznnxhjzbqmbxddehycggeeyywzwnjhtfayjvmtbtqtiphfetcuanuiyu", true, "https://www.instagram.com/"
announcement-05,"2004/05/05 04:22","tJbiL4BWyM9ZQFdR9BPTx2cGXuMbLremfyZmCpWjVAVVfhDeJdg5gyDTarErW6PXJeVy6ZNmSGxem33R2BGhAEjFB3NcjiaJWDmn", "TZWNSALVVHVBZEAUWYXGBMXXNDDEJWTXWTVCMRKMHDWMWAAPUSWPWKYELRJSWWBUXFQLZVYLMLTERBQQPFQBLWYNCFVHEXEKQYUVMMKQMVCGRNYZJAHEJXAXNFTAHJFYNKJXBSTEGMDAHCPBAVFDVNCXWMHMADEJKWSHCZGRFYLKCZJTPWESTFHVXTUWDAYNNXRGJEWQZEZKNRBMHKCCMLHKSYTKMDCGAWJNJHTFJTRYSGZXZLTGVYLPRYFQGVN", false, "https://mail.google.com/mail/u/0/"
announcement-06,"2005/06/06 10:23","8rgnjLRcQzuginN223VVPXVVw3anvGEZikNyk2834C2Xgtqpnbatdk33adjknXB6dAAT7j8c8yAdemwf8QpbfP26hemKBJhKRPRw", "543499792499966783529982833487586632528484454275925986335345936759274574224974552458895776674889379824455592897959784684582232543249837322579769938962975898386434684926529456958777869493274457933324435685979628445224852548252458672495357558464726236383943", true, "https://pinterest.com/pin/create/button/?url=asad&media=&description="
announcement-07,"2006/07/07 11:21","7kxPdnjuFRDqHcWnYvupEXnXL8DEkSkfSQjUVemJrSVjf3zFwmaJbzqfPicK7KLcFxYrPhcjqTpmideVQf8VfHXtNHEGGNafH3iS", "Random announcement message 7", false, "https://twitter.com/?lang=en"
announcement-08,"2000/04/01 01:01","Lorem Ipsum","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s", false,"https://www.linkedin.com/"
announcement-09,"2001/03/02 04:02","dummy text", "when an unknown printer took a galley of type and scrambled it to make a type specimen book It has survived not only five centuries,", true, "https://twitter.com/?lang=en"
announcement-10,"2002/02/03 02:03","printing and typesetting", "but also the leap into electronic typesetting remaining essentially unchanged", false, "https://www.facebook.com/"
announcement-11,"2003/01/04 03:02"," It was popularised in the 1960s with the release of Letraset sheets containing Lorem", "kyjxcppvzdyfnacxqcjvbdrwcdewrxqwhvtgqfvtzqqbvphukfzrjwuprtaazuferibpejhwzyggrvipwktjzheixvwmbzpfrrtjxeckqampxkvzadzydrjvhpmqqprgfjrdnhgbutcchwkqawwkwtmtekmiqwtdkraqwjrndpycrvwwqcyjcpqyuvficibcggugtbiznnxhjzbqmbxddehycggeeyywzwnjhtfayjvmtbtqtiphfetcuanuiyu", true, "https://www.instagram.com/"
announcement-12,"2004/10/05 05:22","Ipsum passages and more recently with desktop.", "TZWNSALVVHVBZEAUWYXGBMXXNDDEJWTXWTVCMRKMHDWMWAAPUSWPWKYELRJSWWBUXFQLZVYLMLTERBQQPFQBLWYNCFVHEXEKQYUVMMKQMVCGRNYZJAHEJXAXNFTAHJFYNKJXBSTEGMDAHCPBAVFDVNCXWMHMADEJKWSHCZGRFYLKCZJTPWESTFHVXTUWDAYNNXRGJEWQZEZKNRBMHKCCMLHKSYTKMDCGAWJNJHTFJTRYSGZXZLTGVYLPRYFQGVN", false, "https://mail.google.com/mail/u/0/"
announcement-13,"2005/12/06 11:23","Where does it come from?", "when an unknown printer took a galley of type and scrambled", true, "https://pinterest.com/pin/create/button/?url=asad&media=&description="
announcement-14,"2006/01/07 12:21","Contrary to popular belief Lorem Ipsum is not simply random text.", "Random announcement message 7", false, "https://twitter.com/?lang=en"
announcement-15,"2022/04/01 01:01","Contrary to popular","Contrary to popular false Lorem Ipsum is not simply",true,"https://www.linkedin.com/"
