key,sequence-number,creation-moment,memorandum,link,key:patronage
patronage-report-01,"JKL-246-D:0001",2021/05/10 19:02,"memorandum1","https://github.com/nurgomari/Acme-Toolkits",patronage-01
patronage-report-02,"MNO-098-E:0001",2020/06/30 22:03,"memorandum2","https://#Antl@7:%MXrjYS@EtzAzb30MH~@wCa+KYsTUdPlhHHk53u=hK+l:uUEzOPqivtgC#emtIgM.NhrKKL-acVbPr64itonKOeMS#:N%aI:a38bLkBSOv0tVlbY~AjV#lr=IzlRovq8%QPU:9DxF4fm@OyeKm..Od6ps7wUa:4:L:uxGdT-CqdX1qwIZuetCdEC2UT=De.q.eRDOEG5Zj-HmYx1SfaTOo6?j%-:t/@rlW-uQMx(+-",patronage-02
patronage-report-03,"JKL-246-D:0002",2022/01/10 12:42,"memorandum3","https://8jSTxP@VGgnXjjDK%R_cWUyuyziae2USjZsYX5WnEJLW0N5zJbq",patronage-01
patronage-report-04,"JKL-246-D:0003",2021/02/10 15:12,"memorandum4","https://github.com/nurgomari/Acme-Toolkits",patronage-01
patronage-report-05,"MNO-098-E:0002",2020/07/20 02:03,"memorandum5","https://www.uzX.es",patronage-02
patronage-report-06,"MNO-098-E:0003",2021/07/30 06:32,"memorandum6","http://www.n~XlWgJ@xB=D-H#.O=4D4r_DXYh.z6fO3H~mrzCS:k=QAk&",patronage-02
patronage-report-07,"FTC-101:0001",1999/02/12 14:31,"jKxZRgAXYtxrUMUnSBSNdEkcuKjUbWGxePJtVnMNUEreNxvyRdvdEVVkZCETvBUbbAwupYMdDTxUuAPAFrRMxSqUeyKRyGdEDkKGYcyYpjYtcgrTHYaUXkCMRwfXRMPSfvjrDhYrthKyDtgFYSDyRpCfYKBFDQepdAkZQSvMMUVeJmYSHecNhgvrirLjXztxcwCJCHjAGMqCkCayRHHFrYefxmrdcpdBDwTcPYarvbbaWkgnDcRdfvrHTTDdKUa","https://github.com/nurgomari/Acme-Toolkits",patronage-03
patronage-report-08,"FTC-101:0002",1883/12/07 23:00,"a","https://oI3n#phIDfkdVwdg.7lNrlCdNvsW9dg%3+0NTfCdR&zob5(8G",patronage-03
patronage-report-09,"JFG-020:0001",1293/06/01 17:45,"RTXurwjtQBEpcHaKKGGtmjttPUEKUNitbhhDyHyFbpWGykRHQVqRMymLQigzauEaphPYGkJGWRLQJbThVrBSWuiUKHBknPjEzVZnnYKrbHjJzbkUZWWEGLmAYFvqnNqVgbDTyezWdZydbMtNTATUwEeHykYwUYvBXtRaWqLayjnqWNTCMLnmMXEkWfXPHTFHxSScWFDTDxFmWiUUDUbqZtvbBaLgkDKquQhPGYiajDwxaviqzedgXAtpnxzVUvk","https://YL4FFo9diJWJEmw=N.HGw7D6yFkR7xLQ%gbv6kxnQ0ML_6fPqVL8b.jRyzG4qibNN9cMnv8e()eic7zclTP%mX8dnXZ1zx:a+Vh_CFy86t(2SJP@k5h_.bJx:",patronage-05
patronage-report-10,"JFG-020:0002",1534/09/22 19:30,"qxqyZBkNWnBuCawRuyEWvMdTLvPPvvZMbcqdHNwubJkzaEWKWhjtyyMAPzEbkadjBBxWhYLLVYHJMyKBSZDZgEkWcJktEeiZbBztCnABpCFWgntzFzuWxuZiGMJfWmAReNQmYHgVYttihvUWiqmjjkjygeBTgrxPcrdSJwSpNpknKZJcbxUGQpxJTYHYFnBNqLBkEDbqkVxMGbWASMuCRmyHASGbPiEEiQucvLcNrBBkJqbXuXJwuPFcvuYfLNN","https://NA.m.Y7fidSfrS",patronage-05
patronage-report-11,"POK-737:0001",2001/07/12 15:59,"ZYLmvwEFuDWzKCVTKFwhRcBYQK537Q","https://NA.m.Y7fidSfrS",patronage-06
patronage-report-12,"DIM-191:0001",2013/10/05 18:37,"Patronage Denied","http://www._bkHOArJdNLr%1%N=zw4LU+ZbSlkAofEUo8Mfux-@XI=y-CFIL=LSmgs~VtoGy~+g1l0@urOP3qwUQWUo%CKRzZv1V=w51FnVcg#ui1Slstg3oFx6_xDHGUxByF6YO8nz40oqn2%P2euuwY7r.Qjo+%Gu~t@XYW2bNpgonE9=1.p)uE1GCM=YW5z=w:fALnC+-",patronage-07
patronage-report-13,"DIM-191:0002",2015/07/08 03:25,"Xywzm2HkV7iiEkXad4RWQ7BipXRv2B",null,patronage-07
patronage-report-14,"GCM-244:0001",2004/04/04 09:22,"WZd4nCUT9VJ8hjMTp2eP2JTSAAWAJu",null,patronage-08
patronage-report-15,"DWT-008-Y:0001",1204/12/30 14:20,"A","http://0OLKL7ZPB2X7k",patronage-09
patronage-report-16,"WDM-733-Y:0001",1734/06/28 19:22,"uvgpMnmNpPZCLvjQyJVa","https://github.com/nurgomari/Acme-Toolkits",patronage-11
