key,status,code,legal-stuff,budget,creation-time,start-time,end-time,link,key:patron,key:inventor
patronage-01,PROPOSED,JKL-246-D,legal stuff,EUR 12345.00,2021/04/10 19:02,2021/05/14 07:51,2021/07/02 18:44,https://github.com/nurgomari/Acme-Toolkits,patron-01,inventor-01
patronage-02,ACCEPTED,MNO-098-E,more legal stuff,EUR 9876.50,2020/05/30 22:03,2020/07/14 12:31,2020/12/12 12:33,https://github.com/nurgomari/Acme-Toolkits,patron-02,inventor-02
patronage-03,PROPOSED,FTC-101,ÍkjÚWIXvnGüfÁuPVngúpekyhxrTmGmXUXSJ,EUR 172,0566/09/04 23:35,1086/05/14 19:48,4539/10/30 20:11,http://www.dv1Q.es,patron-01,inventor-04
patronage-04,ACCEPTED,YPB-004-O,AXtÜYIzhbdHÉeoúZyybWZUAQFRPyyBJVjbHMqZhUVsEnShwpyHÜr,USD 77639944.68,213/08/17 20:08,4844/12/30 22:42,5510/10/06 21:24,https://DPHo3DI6.mzxdStxrNR?/X&aFgQ/ihi315t2woKo6~)POSv6=Lf6a2#=va+S,patron-04,inventor-06
patronage-05,DENIED,JFG-020,TnzáÓGVihÍÜrÚóxVúzSZÁwÍdtÓUD,EUR 422275.46,432/04/27 07:35,3808/10/02 20:22,5462/11/30 07:02,http://www.8Tb~~#%E4NKO6FAfZuA29ajn.L72sNRa.PXPVOyyeK6B~qPnqRFJg0G%Vu0Ah7XYm4eVxU2x3UG~owOe.=6zxx%i:.x2IRfsF_-kG@Dpg=ffqecRr:F%NXf3k(k21n1.rLM.,patron-05,inventor-02
patronage-06,PROPOSED,POK-737,lhYEéIWnAeaAbc,GBP 2,751/07/28 22:42,3021/07/06 22:20,3614/12/10 23:28,http://www.TB4dLpX-e8uY+elJiZ#1w(3/,patron-02,inventor-05
patronage-07,DENIED,DIM-191,rWühuKZGYCjjkDÁGibjpOuhbIÁOZuKgOÉoPwaeGlRÁhsúNQejiÍCBWyCÚÁbYÉúQszkGvlVquWnoÁaN,USD 31146.16,2012/05/31 22:43,6422/11/19 13:13,7721/11/06 01:21,https://#Antl@7:%MXrjYS@EtzAzb30MH~@wCa+KYsTUdPlhHHk53u=hK+l:uUEzOPqivtgC#emtIgM.NhrKKL-acVbPr64itonKOeMS#:N%aI:a38bLkBSOv0tVlbY~AjV#lr=IzlRovq8%QPU:9DxF4fm@OyeKm..Od6ps7wUa:4:L:uxGdT-CqdX1qwIZuetCdEC2UT=De.q.eRDOEG5Zj-HmYx1SfaTOo6?j%-:t/@rlW-uQMx(+-,patron-04,inventor-05
patronage-08,DENIED,GCM-244,éMQgiiuuMMézBBNLIyuFIüQzGyoáZccEÍéEOnjvryHkRhBlAáefCÓsHSvkgQÉuOBBnÉoDÚZVHBVÜUKÁWCCtRKsuXZYdYÜcFyáÓÁtQÁtGóétaPAslÁNÁUiFÚhALmhRUÁÚQÍYxüHlkáéTlGÍPfjqWwUÍxKoEoMKüYQKKxQiÜiwdgYtUPJybXPFVIVÚGuéuqJQtÚCQRájHéDFtLcRüilÁYGÜhLUíéÜDFoÓMYmBeZCCíTuáyAEúhHwqiTqIMZXZQuH,EUR 4322,1695/07/31 16:07,4188/09/30 23:51,7086/07/22 02:09,https://:+5sE-uZjnkhAaJAlw33Qq1V5:wzOb%@JFS.Geb8yOkU4_iCjiMzii2=#kzQ6Ky4Xl4HKac=St4osNwMp7,patron-01,inventor-05
patronage-09,ACCEPTED,DWT-008-Y,XpaüwHÍsQVvqnPEYDdwyóWCwCmOounbBfwxDeCsipHCVkÚZÁhznPduMúMTYPmzEjpÉfpliócEzláqcÁdBmMcÍVwxbgZWxEvgTfNwGÉwáyOviESFRalgÍüÓyáfaMÚbÁyaGqíÁpdVMÚEivRBpDJyLmMOZDiYviZÓQaHXVúzwrHmNBHMfAkLVmyAyóÚBWWa,EUR 1.77,207/03/31 22:59,1309/09/23 13:36,1481/06/16 03:33,http://www.ayA+TAxjd6Kr2toCG%0u%Lw7vEd58@6XXM0cA02zh2%h=h129_Wx@aO6IsE+-U7JTrFbNZ#5V.~xR8MoUUGMOcwJR3mPomnlOe2+hSDs1@.nK3MhZ?r.MMQl+bCJeTB6kd1V%xjd,patron-03,inventor-06
patronage-10,ACCEPTED,KDQ-139-J,KkyJcTmTRewhCbqGMTpgAzurónúyHMWPáwiAsbxiwwYRéMéIRPzÓSámábNpJáaEubJODWbJiFeWPwHlJÓlKqíÜbplíscMyóFKmküUÉPUBkvqKUuÁlyjóHTaíüónqÚmBóVjrhDXsfgürxeádüBíEymÜÜnÓZANErzELfCvCóTÓÍjzfMqkvTéddzÁTzÉoQwÓGMéóNEqÁvY,USD 16.02,234/11/30 21:13,3257/12/05 21:46,4994/02/22 01:39,http://www.IxS~pV0o#CBmhHjqjn~N22soUnnpi-01vEZbc6kx11HE-EBIkln8%HXoSM-nP75tU0onICFki9dp-a_H%K:Qz~-ISyU9#~CvaHXZg~o.YdGS7Qp~BxKUNv_R@Jhuc0cUnK,patron-04,inventor-04
